Hospital_Code,City,HCAHPS_Measure_ID,HCAHPS_Measure,Question,Answer,Box_Category,Answer_Percent,Answer_Count,Survey_Count,Survey_Start_Date,Survey_End_Date,Survey_Year,Geo_Level
H_01,Denver,H_NURSE_RESPECT_A_P,Communication with Nurses,Nurses treated them with courtesy and respect,Always,Top,80,1401,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_RESPECT_SN_P,Communication with Nurses,Nurses treated them with courtesy and respect,Sometimes or Never,Bottom,3,53,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_RESPECT_U_P,Communication with Nurses,Nurses treated them with courtesy and respect,Usually,Middle,17,298,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_LISTEN_A_P,Communication with Nurses,Nurse listened carefully to them,Always,Top,70,1226,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_LISTEN_SN_P,Communication with Nurses,Nurse listened carefully to them,Sometimes or Never,Bottom,5,88,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_LISTEN_U_P,Communication with Nurses,Nurse listened carefully to them,Usually,Middle,25,438,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_EXPLAIN_A_P,Communication with Nurses,Nurses explained things in a way they could understand,Always,Top,69,1208,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_EXPLAIN_SN_P,Communication with Nurses,Nurses explained things in a way they could understand,Sometimes or Never,Bottom,5,88,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_NURSE_EXPLAIN_U_P,Communication with Nurses,Nurses explained things in a way they could understand,Usually,Middle,26,455,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_RESPECT_A_P,Communication with Doctors,Doctors treated them with courtesy and respect,Always,Top,82,1436,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_RESPECT_SN_P,Communication with Doctors,Doctors treated them with courtesy and respect,Sometimes or Never,Bottom,4,70,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_RESPECT_U_P,Communication with Doctors,Doctors treated them with courtesy and respect,Usually,Middle,14,245,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_LISTEN_A_P,Communication with Doctors,Doctor listened carefully to them,Always,Top,75,1313,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_LISTEN_SN_P,Communication with Doctors,Doctor listened carefully to them,Sometimes or Never,Bottom,5,88,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_LISTEN_U_P,Communication with Doctors,Doctor listened carefully to them,Usually,Middle,20,350,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_EXPLAIN_A_P,Communication with Doctors,Doctors explained things in a way they could understand,Always,Top,70,1226,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_EXPLAIN_SN_P,Communication with Doctors,Doctors explained things in a way they could understand,Sometimes or Never,Bottom,6,105,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_DOCTOR_EXPLAIN_U_P,Communication with Doctors,Doctors explained things in a way they could understand,Usually,Middle,24,420,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_CALL_BUTTON_A_P,Responsiveness of Hospital Staff,Received help after using the call button as soon as they wanted,Always,Top,49,858,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_CALL_BUTTON_SN_P,Responsiveness of Hospital Staff,Received help after using the call button as soon as they wanted,Sometimes or Never,Bottom,11,193,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_CALL_BUTTON_U_P,Responsiveness of Hospital Staff,Received help after using the call button as soon as they wanted,Usually,Middle,40,700,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_BATH_HELP_A_P,Responsiveness of Hospital Staff,Received bathroom help as soon as they wanted,Always,Top,54,946,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_BATH_HELP_SN_P,Responsiveness of Hospital Staff,Received bathroom help as soon as they wanted,Sometimes or Never,Bottom,14,245,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_BATH_HELP_U_P,Responsiveness of Hospital Staff,Received bathroom help as soon as they wanted,Usually,Middle,32,560,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_MED_FOR_A_P,Communication about Medicines,Staff communicated what the medication was for,Always,Top,71,1243,1751,1/1/2023,12/31/2023,2023,Denver
H_01,Denver,H_MED_FOR_SN_P,Communication about Medicines,Staff communicated what the medication was for,Sometimes or Never,Bottom,11,193,1751,1/1/2023,12/31/2023,2023,Denver
